ID,experimental_phase,group,date,intake
413,Baseline,Uncertainty,2022-09-26,65
414,Baseline,No-Uncertainty,2022-09-26,43
415,Baseline,No-Uncertainty,2022-09-26,60
416,Baseline,Uncertainty,2022-09-26,81
417,Baseline,Uncertainty,2022-09-26,40
418,Baseline,Uncertainty,2022-09-26,43
419,Baseline,Uncertainty,2022-09-26,64
420,Baseline,No-Uncertainty,2022-09-26,59
421,Baseline,No-Uncertainty,2022-09-26,61
422,Baseline,No-Uncertainty,2022-09-26,89
413,Baseline,Uncertainty,2022-09-27,73
414,Baseline,No-Uncertainty,2022-09-27,55
415,Baseline,No-Uncertainty,2022-09-27,71
416,Baseline,Uncertainty,2022-09-27,78
417,Baseline,Uncertainty,2022-09-27,57
418,Baseline,Uncertainty,2022-09-27,50
419,Baseline,Uncertainty,2022-09-27,72
420,Baseline,No-Uncertainty,2022-09-27,51
421,Baseline,No-Uncertainty,2022-09-27,75
422,Baseline,No-Uncertainty,2022-09-27,77
413,Baseline,Uncertainty,2022-09-28,66
414,Baseline,No-Uncertainty,2022-09-28,31
415,Baseline,No-Uncertainty,2022-09-28,71
416,Baseline,Uncertainty,2022-09-28,70
417,Baseline,Uncertainty,2022-09-28,62
418,Baseline,Uncertainty,2022-09-28,83
419,Baseline,Uncertainty,2022-09-28,31
420,Baseline,No-Uncertainty,2022-09-28,40
421,Baseline,No-Uncertainty,2022-09-28,92
422,Baseline,No-Uncertainty,2022-09-28,88
413,Baseline,Uncertainty,2022-09-29,66
414,Baseline,No-Uncertainty,2022-09-29,55
415,Baseline,No-Uncertainty,2022-09-29,63
416,Baseline,Uncertainty,2022-09-29,63
417,Baseline,Uncertainty,2022-09-29,67
418,Baseline,Uncertainty,2022-09-29,63
419,Baseline,Uncertainty,2022-09-29,64
420,Baseline,No-Uncertainty,2022-09-29,65
421,Baseline,No-Uncertainty,2022-09-29,76
422,Baseline,No-Uncertainty,2022-09-29,83
413,Baseline,Uncertainty,2022-09-30,72
414,Baseline,No-Uncertainty,2022-09-30,57
415,Baseline,No-Uncertainty,2022-09-30,60
416,Baseline,Uncertainty,2022-09-30,66
417,Baseline,Uncertainty,2022-09-30,49
418,Baseline,Uncertainty,2022-09-30,71
419,Baseline,Uncertainty,2022-09-30,57
420,Baseline,No-Uncertainty,2022-09-30,62
421,Baseline,No-Uncertainty,2022-09-30,78
422,Baseline,No-Uncertainty,2022-09-30,64
413,Baseline,Uncertainty,2022-10-01,72
414,Baseline,No-Uncertainty,2022-10-01,58
415,Baseline,No-Uncertainty,2022-10-01,60
416,Baseline,Uncertainty,2022-10-01,57
417,Baseline,Uncertainty,2022-10-01,65
418,Baseline,Uncertainty,2022-10-01,75
419,Baseline,Uncertainty,2022-10-01,58
420,Baseline,No-Uncertainty,2022-10-01,65
421,Baseline,No-Uncertainty,2022-10-01,71
422,Baseline,No-Uncertainty,2022-10-01,63
413,Baseline,Uncertainty,2022-10-02,62
414,Baseline,No-Uncertainty,2022-10-02,72
415,Baseline,No-Uncertainty,2022-10-02,45
416,Baseline,Uncertainty,2022-10-02,66
417,Baseline,Uncertainty,2022-10-02,42
418,Baseline,Uncertainty,2022-10-02,54
419,Baseline,Uncertainty,2022-10-02,61
420,Baseline,No-Uncertainty,2022-10-02,60
421,Baseline,No-Uncertainty,2022-10-02,69
422,Baseline,No-Uncertainty,2022-10-02,58
413,Baseline,Uncertainty,2022-10-03,73
414,Baseline,No-Uncertainty,2022-10-03,48
415,Baseline,No-Uncertainty,2022-10-03,66
416,Baseline,Uncertainty,2022-10-03,43
417,Baseline,Uncertainty,2022-10-03,70
418,Baseline,Uncertainty,2022-10-03,85
419,Baseline,Uncertainty,2022-10-03,66
420,Baseline,No-Uncertainty,2022-10-03,59
421,Baseline,No-Uncertainty,2022-10-03,82
422,Baseline,No-Uncertainty,2022-10-03,81
413,Experimental,Uncertainty,2022-10-04,60
414,Experimental,No-Uncertainty,2022-10-04,74
415,Experimental,No-Uncertainty,2022-10-04,68
416,Experimental,Uncertainty,2022-10-04,59
417,Experimental,Uncertainty,2022-10-04,37
418,Experimental,Uncertainty,2022-10-04,71
419,Experimental,Uncertainty,2022-10-04,57
420,Experimental,No-Uncertainty,2022-10-04,58
421,Experimental,No-Uncertainty,2022-10-04,78
422,Experimental,No-Uncertainty,2022-10-04,55
413,Experimental,Uncertainty,2022-10-05,81
414,Experimental,No-Uncertainty,2022-10-05,60
415,Experimental,No-Uncertainty,2022-10-05,61
416,Experimental,Uncertainty,2022-10-05,52
417,Experimental,Uncertainty,2022-10-05,37
418,Experimental,Uncertainty,2022-10-05,91
419,Experimental,Uncertainty,2022-10-05,70
420,Experimental,No-Uncertainty,2022-10-05,61
421,Experimental,No-Uncertainty,2022-10-05,69
422,Experimental,No-Uncertainty,2022-10-05,59
413,Experimental,Uncertainty,2022-10-06,67
414,Experimental,No-Uncertainty,2022-10-06,55
415,Experimental,No-Uncertainty,2022-10-06,70
416,Experimental,Uncertainty,2022-10-06,46
417,Experimental,Uncertainty,2022-10-06,75
418,Experimental,Uncertainty,2022-10-06,78
419,Experimental,Uncertainty,2022-10-06,67
420,Experimental,No-Uncertainty,2022-10-06,64
421,Experimental,No-Uncertainty,2022-10-06,76
422,Experimental,No-Uncertainty,2022-10-06,64
413,Experimental,Uncertainty,2022-10-07,54
414,Experimental,No-Uncertainty,2022-10-07,72
415,Experimental,No-Uncertainty,2022-10-07,50
416,Experimental,Uncertainty,2022-10-07,48
417,Experimental,Uncertainty,2022-10-07,51
418,Experimental,Uncertainty,2022-10-07,55
419,Experimental,Uncertainty,2022-10-07,61
420,Experimental,No-Uncertainty,2022-10-07,59
421,Experimental,No-Uncertainty,2022-10-07,75
422,Experimental,No-Uncertainty,2022-10-07,65
413,Experimental,Uncertainty,2022-10-08,74
414,Experimental,No-Uncertainty,2022-10-08,51
415,Experimental,No-Uncertainty,2022-10-08,61
416,Experimental,Uncertainty,2022-10-08,33
417,Experimental,Uncertainty,2022-10-08,32
418,Experimental,Uncertainty,2022-10-08,55
419,Experimental,Uncertainty,2022-10-08,52
420,Experimental,No-Uncertainty,2022-10-08,62
421,Experimental,No-Uncertainty,2022-10-08,66
422,Experimental,No-Uncertainty,2022-10-08,62
413,Experimental,Uncertainty,2022-10-09,67
414,Experimental,No-Uncertainty,2022-10-09,53
415,Experimental,No-Uncertainty,2022-10-09,66
416,Experimental,Uncertainty,2022-10-09,49
417,Experimental,Uncertainty,2022-10-09,54
418,Experimental,Uncertainty,2022-10-09,55
419,Experimental,Uncertainty,2022-10-09,44
420,Experimental,No-Uncertainty,2022-10-09,48
421,Experimental,No-Uncertainty,2022-10-09,60
422,Experimental,No-Uncertainty,2022-10-09,65
413,Experimental,Uncertainty,2022-10-10,61
414,Experimental,No-Uncertainty,2022-10-10,37
415,Experimental,No-Uncertainty,2022-10-10,52
416,Experimental,Uncertainty,2022-10-10,45
417,Experimental,Uncertainty,2022-10-10,42
418,Experimental,Uncertainty,2022-10-10,55
419,Experimental,Uncertainty,2022-10-10,60
420,Experimental,No-Uncertainty,2022-10-10,59
421,Experimental,No-Uncertainty,2022-10-10,71
422,Experimental,No-Uncertainty,2022-10-10,64
413,Experimental,Uncertainty,2022-10-11,53
414,Experimental,No-Uncertainty,2022-10-11,75
415,Experimental,No-Uncertainty,2022-10-11,66
416,Experimental,Uncertainty,2022-10-11,33
417,Experimental,Uncertainty,2022-10-11,52
418,Experimental,Uncertainty,2022-10-11,30
419,Experimental,Uncertainty,2022-10-11,43
420,Experimental,No-Uncertainty,2022-10-11,53
421,Experimental,No-Uncertainty,2022-10-11,67
422,Experimental,No-Uncertainty,2022-10-11,68
413,Experimental,Uncertainty,2022-10-12,49
414,Experimental,No-Uncertainty,2022-10-12,57
415,Experimental,No-Uncertainty,2022-10-12,51
416,Experimental,Uncertainty,2022-10-12,46
417,Experimental,Uncertainty,2022-10-12,35
418,Experimental,Uncertainty,2022-10-12,32
419,Experimental,Uncertainty,2022-10-12,68
420,Experimental,No-Uncertainty,2022-10-12,61
421,Experimental,No-Uncertainty,2022-10-12,61
422,Experimental,No-Uncertainty,2022-10-12,52
413,Experimental,Uncertainty,2022-10-13,46
414,Experimental,No-Uncertainty,2022-10-13,45
415,Experimental,No-Uncertainty,2022-10-13,54
416,Experimental,Uncertainty,2022-10-13,55
417,Experimental,Uncertainty,2022-10-13,47
418,Experimental,Uncertainty,2022-10-13,59
419,Experimental,Uncertainty,2022-10-13,36
420,Experimental,No-Uncertainty,2022-10-13,57
421,Experimental,No-Uncertainty,2022-10-13,64
422,Experimental,No-Uncertainty,2022-10-13,57
413,Experimental,Uncertainty,2022-10-14,39
414,Experimental,No-Uncertainty,2022-10-14,56
415,Experimental,No-Uncertainty,2022-10-14,57
416,Experimental,Uncertainty,2022-10-14,36
417,Experimental,Uncertainty,2022-10-14,63
418,Experimental,Uncertainty,2022-10-14,53
419,Experimental,Uncertainty,2022-10-14,66
420,Experimental,No-Uncertainty,2022-10-14,62
421,Experimental,No-Uncertainty,2022-10-14,58
422,Experimental,No-Uncertainty,2022-10-14,67
413,Experimental,Uncertainty,2022-10-15,48
414,Experimental,No-Uncertainty,2022-10-15,50
415,Experimental,No-Uncertainty,2022-10-15,60
416,Experimental,Uncertainty,2022-10-15,49
417,Experimental,Uncertainty,2022-10-15,59
418,Experimental,Uncertainty,2022-10-15,40
419,Experimental,Uncertainty,2022-10-15,47
420,Experimental,No-Uncertainty,2022-10-15,61
421,Experimental,No-Uncertainty,2022-10-15,62
422,Experimental,No-Uncertainty,2022-10-15,64
413,Experimental,Uncertainty,2022-10-16,60
414,Experimental,No-Uncertainty,2022-10-16,52
415,Experimental,No-Uncertainty,2022-10-16,55
416,Experimental,Uncertainty,2022-10-16,46
417,Experimental,Uncertainty,2022-10-16,36
418,Experimental,Uncertainty,2022-10-16,82
419,Experimental,Uncertainty,2022-10-16,60
420,Experimental,No-Uncertainty,2022-10-16,54
421,Experimental,No-Uncertainty,2022-10-16,64
422,Experimental,No-Uncertainty,2022-10-16,66
413,Experimental,Uncertainty,2022-10-17,38
414,Experimental,No-Uncertainty,2022-10-17,59
415,Experimental,No-Uncertainty,2022-10-17,55
416,Experimental,Uncertainty,2022-10-17,40
417,Experimental,Uncertainty,2022-10-17,30
418,Experimental,Uncertainty,2022-10-17,55
419,Experimental,Uncertainty,2022-10-17,50
420,Experimental,No-Uncertainty,2022-10-17,64
421,Experimental,No-Uncertainty,2022-10-17,59
422,Experimental,No-Uncertainty,2022-10-17,62
413,Experimental,Uncertainty,2022-10-18,57
414,Experimental,No-Uncertainty,2022-10-18,56
415,Experimental,No-Uncertainty,2022-10-18,62
416,Experimental,Uncertainty,2022-10-18,38
417,Experimental,Uncertainty,2022-10-18,57
418,Experimental,Uncertainty,2022-10-18,48
419,Experimental,Uncertainty,2022-10-18,51
420,Experimental,No-Uncertainty,2022-10-18,61
421,Experimental,No-Uncertainty,2022-10-18,65
422,Experimental,No-Uncertainty,2022-10-18,66
413,Experimental,Uncertainty,2022-10-19,53
414,Experimental,No-Uncertainty,2022-10-19,62
415,Experimental,No-Uncertainty,2022-10-19,64
416,Experimental,Uncertainty,2022-10-19,49
417,Experimental,Uncertainty,2022-10-19,51
418,Experimental,Uncertainty,2022-10-19,70
419,Experimental,Uncertainty,2022-10-19,54
420,Experimental,No-Uncertainty,2022-10-19,68
421,Experimental,No-Uncertainty,2022-10-19,71
422,Experimental,No-Uncertainty,2022-10-19,67
413,Experimental,Uncertainty,2022-10-20,45
414,Experimental,No-Uncertainty,2022-10-20,59
415,Experimental,No-Uncertainty,2022-10-20,70
416,Experimental,Uncertainty,2022-10-20,50
417,Experimental,Uncertainty,2022-10-20,69
418,Experimental,Uncertainty,2022-10-20,80
419,Experimental,Uncertainty,2022-10-20,49
420,Experimental,No-Uncertainty,2022-10-20,71
421,Experimental,No-Uncertainty,2022-10-20,58
422,Experimental,No-Uncertainty,2022-10-20,60
413,Experimental,Uncertainty,2022-10-21,67
414,Experimental,No-Uncertainty,2022-10-21,59
415,Experimental,No-Uncertainty,2022-10-21,64
416,Experimental,Uncertainty,2022-10-21,48
417,Experimental,Uncertainty,2022-10-21,54
418,Experimental,Uncertainty,2022-10-21,42
419,Experimental,Uncertainty,2022-10-21,39
420,Experimental,No-Uncertainty,2022-10-21,65
421,Experimental,No-Uncertainty,2022-10-21,65
422,Experimental,No-Uncertainty,2022-10-21,59
413,Experimental,Uncertainty,2022-10-22,47
414,Experimental,No-Uncertainty,2022-10-22,51
415,Experimental,No-Uncertainty,2022-10-22,68
416,Experimental,Uncertainty,2022-10-22,33
417,Experimental,Uncertainty,2022-10-22,54
418,Experimental,Uncertainty,2022-10-22,55
419,Experimental,Uncertainty,2022-10-22,44
420,Experimental,No-Uncertainty,2022-10-22,64
421,Experimental,No-Uncertainty,2022-10-22,69
422,Experimental,No-Uncertainty,2022-10-22,57
413,Experimental,Uncertainty,2022-10-23,54
414,Experimental,No-Uncertainty,2022-10-23,59
415,Experimental,No-Uncertainty,2022-10-23,67
416,Experimental,Uncertainty,2022-10-23,49
417,Experimental,Uncertainty,2022-10-23,54
418,Experimental,Uncertainty,2022-10-23,52
419,Experimental,Uncertainty,2022-10-23,58
420,Experimental,No-Uncertainty,2022-10-23,64
421,Experimental,No-Uncertainty,2022-10-23,34
422,Experimental,No-Uncertainty,2022-10-23,66
413,Experimental,Uncertainty,2022-10-24,57
414,Experimental,No-Uncertainty,2022-10-24,64
415,Experimental,No-Uncertainty,2022-10-24,54
416,Experimental,Uncertainty,2022-10-24,39
417,Experimental,Uncertainty,2022-10-24,69
418,Experimental,Uncertainty,2022-10-24,55
419,Experimental,Uncertainty,2022-10-24,60
420,Experimental,No-Uncertainty,2022-10-24,64
421,Experimental,No-Uncertainty,2022-10-24,60
422,Experimental,No-Uncertainty,2022-10-24,69
413,Experimental,Uncertainty,2022-10-25,50
414,Experimental,No-Uncertainty,2022-10-25,34
415,Experimental,No-Uncertainty,2022-10-25,53
416,Experimental,Uncertainty,2022-10-25,49
417,Experimental,Uncertainty,2022-10-25,54
418,Experimental,Uncertainty,2022-10-25,30
419,Experimental,Uncertainty,2022-10-25,54
420,Experimental,No-Uncertainty,2022-10-25,131
421,Experimental,No-Uncertainty,2022-10-25,71
422,Experimental,No-Uncertainty,2022-10-25,72
413,Experimental,Uncertainty,2022-10-26,57
414,Experimental,No-Uncertainty,2022-10-26,32
415,Experimental,No-Uncertainty,2022-10-26,49
416,Experimental,Uncertainty,2022-10-26,49
417,Experimental,Uncertainty,2022-10-26,52
418,Experimental,Uncertainty,2022-10-26,57
419,Experimental,Uncertainty,2022-10-26,52
420,Experimental,No-Uncertainty,2022-10-26,63
421,Experimental,No-Uncertainty,2022-10-26,73
422,Experimental,No-Uncertainty,2022-10-26,61
413,Experimental,Uncertainty,2022-10-27,58
414,Experimental,No-Uncertainty,2022-10-27,58
415,Experimental,No-Uncertainty,2022-10-27,65
416,Experimental,Uncertainty,2022-10-27,49
417,Experimental,Uncertainty,2022-10-27,61
418,Experimental,Uncertainty,2022-10-27,64
419,Experimental,Uncertainty,2022-10-27,51
420,Experimental,No-Uncertainty,2022-10-27,71
421,Experimental,No-Uncertainty,2022-10-27,83
422,Experimental,No-Uncertainty,2022-10-27,65
413,Experimental,Uncertainty,2022-10-28,58
414,Experimental,No-Uncertainty,2022-10-28,43
415,Experimental,No-Uncertainty,2022-10-28,63
416,Experimental,Uncertainty,2022-10-28,49
417,Experimental,Uncertainty,2022-10-28,54
418,Experimental,Uncertainty,2022-10-28,55
419,Experimental,Uncertainty,2022-10-28,40
420,Experimental,No-Uncertainty,2022-10-28,65
421,Experimental,No-Uncertainty,2022-10-28,81
422,Experimental,No-Uncertainty,2022-10-28,72
413,Experimental,Uncertainty,2022-10-29,52
414,Experimental,No-Uncertainty,2022-10-29,63
415,Experimental,No-Uncertainty,2022-10-29,57
416,Experimental,Uncertainty,2022-10-29,49
417,Experimental,Uncertainty,2022-10-29,54
418,Experimental,Uncertainty,2022-10-29,43
419,Experimental,Uncertainty,2022-10-29,43
420,Experimental,No-Uncertainty,2022-10-29,64
421,Experimental,No-Uncertainty,2022-10-29,64
422,Experimental,No-Uncertainty,2022-10-29,62
413,Experimental,Uncertainty,2022-10-30,40
414,Experimental,No-Uncertainty,2022-10-30,38
415,Experimental,No-Uncertainty,2022-10-30,52
416,Experimental,Uncertainty,2022-10-30,49
417,Experimental,Uncertainty,2022-10-30,54
418,Experimental,Uncertainty,2022-10-30,55
419,Experimental,Uncertainty,2022-10-30,47
420,Experimental,No-Uncertainty,2022-10-30,64
421,Experimental,No-Uncertainty,2022-10-30,52
422,Experimental,No-Uncertainty,2022-10-30,53
413,Experimental,Uncertainty,2022-10-31,47
414,Experimental,No-Uncertainty,2022-10-31,59
415,Experimental,No-Uncertainty,2022-10-31,65
416,Experimental,Uncertainty,2022-10-31,49
417,Experimental,Uncertainty,2022-10-31,54
418,Experimental,Uncertainty,2022-10-31,55
419,Experimental,Uncertainty,2022-10-31,42
420,Experimental,No-Uncertainty,2022-10-31,64
421,Experimental,No-Uncertainty,2022-10-31,70
422,Experimental,No-Uncertainty,2022-10-31,63
413,Experimental,Uncertainty,2022-11-01,43
414,Experimental,No-Uncertainty,2022-11-01,59
415,Experimental,No-Uncertainty,2022-11-01,65
416,Experimental,Uncertainty,2022-11-01,49
417,Experimental,Uncertainty,2022-11-01,54
418,Experimental,Uncertainty,2022-11-01,55
419,Experimental,Uncertainty,2022-11-01,51
420,Experimental,No-Uncertainty,2022-11-01,64
421,Experimental,No-Uncertainty,2022-11-01,65
422,Experimental,No-Uncertainty,2022-11-01,55
413,Experimental,Uncertainty,2022-11-02,48
414,Experimental,No-Uncertainty,2022-11-02,66
415,Experimental,No-Uncertainty,2022-11-02,65
416,Experimental,Uncertainty,2022-11-02,32
417,Experimental,Uncertainty,2022-11-02,43
418,Experimental,Uncertainty,2022-11-02,40
419,Experimental,Uncertainty,2022-11-02,64
420,Experimental,No-Uncertainty,2022-11-02,64
421,Experimental,No-Uncertainty,2022-11-02,60
422,Experimental,No-Uncertainty,2022-11-02,45
413,Experimental,Uncertainty,2022-11-03,40
414,Experimental,No-Uncertainty,2022-11-03,59
415,Experimental,No-Uncertainty,2022-11-03,65
416,Experimental,Uncertainty,2022-11-03,30
417,Experimental,Uncertainty,2022-11-03,30
418,Experimental,Uncertainty,2022-11-03,33
419,Experimental,Uncertainty,2022-11-03,33
420,Experimental,No-Uncertainty,2022-11-03,79
421,Experimental,No-Uncertainty,2022-11-03,54
422,Experimental,No-Uncertainty,2022-11-03,53
413,Experimental,Uncertainty,2022-11-04,47
414,Experimental,No-Uncertainty,2022-11-04,60
415,Experimental,No-Uncertainty,2022-11-04,66
416,Experimental,Uncertainty,2022-11-04,34
417,Experimental,Uncertainty,2022-11-04,39
418,Experimental,Uncertainty,2022-11-04,55
419,Experimental,Uncertainty,2022-11-04,70
420,Experimental,No-Uncertainty,2022-11-04,72
